CustomerID,CustomerName,AddressLine1,City,State,Country
29698,Jacob Dean,#9900 2700 Production Way,Burnaby,British Columbia,Canada
29698,Jacob Dean,#9900 2700 Production Way,Burnaby,British Columbia,Canada
29698,Jacob Dean,#9900 2700 Production Way,Burnaby,British Columbia,Canada
29698,Jacob Dean,#9900 2700 Production Way,Burnaby,British Columbia,Canada
29698,Jacob Dean,#9900 2700 Production Way,Burnaby,British Columbia,Canada
29698,Jacob Dean,#9900 2700 Production Way,Burnaby,British Columbia,Canada
29698,Jacob Dean,#9900 2700 Production Way,Burnaby,British Columbia,Canada
29698,Jacob Dean,#9900 2700 Production Way,Burnaby,British Columbia,Canada
29698,Jacob Dean,#9900 2700 Production Way,Burnaby,British Columbia,Canada
29698,Jacob Dean,#9900 2700 Production Way,Burnaby,British Columbia,Canada
29698,Jacob Dean,#9900 2700 Production Way,Burnaby,British Columbia,Canada
29698,Jacob Dean,#9900 2700 Production Way,Burnaby,British Columbia,Canada
23899,Lindsey Nath,"00, rue Saint-Lazare",Dunkerque,Nord,France
22458,Kendra Vazquez,"02, place de Fontenoy",Verrieres Le Buisson,Essonne,France
21058,Meredith Suri,"035, boulevard du Montparnasse",Verrieres Le Buisson,Essonne,France
26871,Justin Chen,"081, boulevard du Montparnasse",Saint-Denis,Seine Saint Denis,France
24676,Jeremy Roberts,"081, boulevard du Montparnasse",Seattle,Washington,United States
17740,Colleen Liang,"084, boulevard du Montparnasse",Les Ulis,Essonne,France
29808,James Hamilton,1 Corporate Center Drive,Miami,Florida,United States
29808,James Hamilton,1 Corporate Center Drive,Miami,Florida,United States
29808,James Hamilton,1 Corporate Center Drive,Miami,Florida,United States
15017,Amanda Ramirez,1 Smiling Tree Court,Los Angeles,California,United States
15017,Amanda Ramirez,1 Smiling Tree Court,Los Angeles,California,United States
20553,Damien Xie,"1, allée des Princes",Courbevoie,Hauts de Seine,France
12649,Omar Goel,"1, avenue des Champs-Elysées",Paris,Seine (Paris),France
12632,Bonnie Nath,"1, boulevard Beau Marchais",Sèvres,Hauts de Seine,France
12632,Bonnie Nath,"1, boulevard Beau Marchais",Sèvres,Hauts de Seine,France
12632,Bonnie Nath,"1, boulevard Beau Marchais",Sèvres,Hauts de Seine,France
12632,Bonnie Nath,"1, boulevard Beau Marchais",Sèvres,Hauts de Seine,France
12639,Ruben Lopez,"1, cours Mirabeau",Roncq,Nord,France
12718,Tammy Sai,"1, place Beaubernard",Paris,Seine (Paris),France
20910,Carolyn Malhotra,"1, place Beaubernard",Paris,Seine (Paris),France
14766,Curtis Xu,"1, place Beaubernard",Saint-Denis,Seine Saint Denis,France
27335,Ricardo Raji,"1, place Beaubernard",Tremblay-en-France,Seine Saint Denis,France
29450,Bradley Chande,"1, place de Brazaville",Colomiers,Garonne (Haute),France
13773,Dana Blanco,"1, place de Brazaville",Dunkerque,Nord,France
17084,Byron Serrano,"1, place de Brazaville",Lille,Nord,France
29564,Mary Billstrom,"1, place de la République",Paris,Seine (Paris),France
29564,Mary Billstrom,"1, place de la République",Paris,Seine (Paris),France
29564,Mary Billstrom,"1, place de la République",Paris,Seine (Paris),France
29564,Mary Billstrom,"1, place de la République",Paris,Seine (Paris),France
12510,Roberto Sanz,"1, rue de Courtaboeuf",Lieusaint,Seine et Marne,France
12510,Roberto Sanz,"1, rue de Courtaboeuf",Lieusaint,Seine et Marne,France
12510,Roberto Sanz,"1, rue de Courtaboeuf",Lieusaint,Seine et Marne,France
14959,Ross Patel,"1, rue de Courtaboeuf",Lille,Nord,France
24095,Julie Andersen,"1, rue de Courtaboeuf",Versailles,Yveline,France
16439,Dawn Deng,"1, rue de Fontfroide",Paris,Seine (Paris),France
14689,Lloyd Saunders,"1, rue de l´Avenir",Chatou,Yveline,France
27772,Darrell Goel,"1, rue de l´Avenir",Morangis,Essonne,France
20827,Jillian Perez,"1, rue de la Cavalerie",Paris La Defense,Hauts de Seine,France
14135,Clayton Xie,"1, rue de la Cavalerie",Roncq,Nord,France
13531,Tyrone Gutierrez,"1, rue de la Cavalerie",Sèvres,Hauts de Seine,France
14144,Lee Gutierrez,"1, rue de la Centenaire",Cergy,Val d'Oise,France
22800,Dwayne Alvarez,"1, rue de la Centenaire",Colombes,Hauts de Seine,France
19320,Bethany Deng,"1, rue de la Centenaire",Les Ulis,Essonne,France
19320,Bethany Deng,"1, rue de la Centenaire",Les Ulis,Essonne,France
14923,Andy Blanco,"1, rue de la Centenaire",Lille,Nord,France
19076,Jaclyn Pal,"1, rue de la Centenaire",Roubaix,Nord,France
19076,Jaclyn Pal,"1, rue de la Centenaire",Roubaix,Nord,France
14845,Chelsea Sai,"1, rue de la Centenaire",Saint-Denis,Seine Saint Denis,France
21080,Ebony Lopez,"1, rue de la Centenaire",Versailles,Yveline,France
19295,Katelyn Green,"1, rue de Maubeuge",Metz,Moselle,France
19295,Katelyn Green,"1, rue de Maubeuge",Metz,Moselle,France
15651,Ann Lopez,"1, rue de Maubeuge",Morangis,Essonne,France
15651,Ann Lopez,"1, rue de Maubeuge",Morangis,Essonne,France
23973,Zachary Long,"1, rue de Maubeuge",Paris,Seine (Paris),France
21132,Jeffery Hu,"1, rue de Maubeuge",Paris,Seine (Paris),France
16596,Gabrielle Carter,"1, rue de Maubeuge",Saint Germain en Laye,Yveline,France
16596,Gabrielle Carter,"1, rue de Maubeuge",Saint Germain en Laye,Yveline,France
14152,Luke Turner,"1, rue de Maubeuge",Villeneuve-d'Ascq,Nord,France
27807,Shaun Kumar,"1, rue de Varenne",Boulogne-Billancourt,Hauts de Seine,France
22511,Wendy Suarez,"1, rue de Varenne",Dunkerque,Nord,France
22484,Kristy Ruiz,"1, rue Georges-Clémenceau",Paris,Seine (Paris),France
24153,Seth Jenkins,"1, rue Lamarck",Versailles,Yveline,France
25539,Mathew Ortega,"1, rue Pierre-Demoulin",Croix,Nord,France
23756,Omar Jai,"1, rue Pierre-Demoulin",Les Ulis,Essonne,France
22377,Roger Zeng,"1, rue Pierre-Demoulin",Orleans,Loiret,France
21081,Xavier Smith,"1, rue Pierre-Demoulin",Paris,Seine (Paris),France
12631,Clarence Gao,"1, rue Pierre-Demoulin",Paris,Seine (Paris),France
12631,Clarence Gao,"1, rue Pierre-Demoulin",Paris,Seine (Paris),France
12631,Clarence Gao,"1, rue Pierre-Demoulin",Paris,Seine (Paris),France
12631,Clarence Gao,"1, rue Pierre-Demoulin",Paris,Seine (Paris),France
12552,Bruce Torres,"1, rue Ste-Honoré",Saint Ouen,Loir et Cher,France
24952,Amanda Long,10 Napa Ct.,Lebanon,Oregon,United States
17752,Deanna Hernandez,"10, avenue de Norvege",Paris,Seine (Paris),France
17752,Deanna Hernandez,"10, avenue de Norvege",Paris,Seine (Paris),France
